game_id,headline,description
401706962,Mayo scores 19 as No. 1 Kansas beats Howard 87-57 in season-opener,"Zeke Mayo, a grad transfer from South Dakota State, had 19 points in his Kansas debut and the top-ranked Jayhawks beat Howard 87-57 on Monday night in the season-opener for both teams."
401719228,No headline found,No description found
401706926,"L.J. Cryer scores 16, No. 4 Houston beats Jackson State 97-40 to extend home win streak","L.J. Cryer scored 16 points, Mylik Wilson added 15 points off the bench, and No. 4 Houston opened its season with a 97-40 win over Jackson State on Monday night."
401706954,"Gilbert scores 17 points, Lipsey adds 16 as No. 5 Iowa State routs Mississippi Valley State 83-44",Keshon Gilbert scored 17 points and Tamin Lipsey added 16 as No. 5 Iowa State routed Mississippi Valley State 83-44 on Monday night for its 28th straight home win.
401727062,Sixth-ranked Gonzaga opens with 101-63 victory over No. 8 Baylor,"Nolan Hickman scored 17 points, Graham Ike had 15 points and eight rebounds, and No. 6 Gonzaga beat No. 8 Baylor 101-63 at Spokane Arena on Monday night in the teams' season-opener."
401706881,"Freshmen Cooper Flagg, Kon Knueppel help No. 7 Duke roll past Maine 96-62 in season opener","Star freshman Cooper Flagg had 18 points, seven rebounds and five assists in his college debut, and No. 7 Duke beat Maine 96-62 on Monday night in the season opener for both teams."
401700434,No headline found,No description found
401706149,Love scores 17 and No. 10 Arizona opens season with 93-64 win over Canisius,"Caleb Love had 17 points and six assists, Jaden Bradley added 15 points and No. 10 Arizona opened coach Tommy Lloyd's fourth season with a 93-64 win over Canisius on Monday night."
401715335,"Chaz Lanier scores 18, Jordan Gainey 16 to lead No. 12 Tennessee past Gardner-Webb 80-64",Chaz Lanier scored 18 points and Jordan Gainey had 16 as No. 12 Tennessee beat Gardner-Webb 80-64 on Monday night in the season opener for both teams.
401715355,UCF opens season with court-storming 64-61 win over No. 13 Texas A&M,Darius Johnson scored 24 points and assisted on a go-ahead slam dunk with less than a minute remaining to lead UCF to a 64-61 win over No. 13 Texas A&M on Monday night.
401707976,Loyer scores 21 to lead No. 14 Purdue in 90-73 win over Texas A&M-Corpus Christi,Fletcher Loyer scored 21 points to lead five players in double figures as No. 14 Purdue beat Texas A&M-Corpus Christi 90-73 on Monday night.
401715476,Kam Jones scores 32 points in No. 18 Marquette's season-opening 102-62 rout of Stony Brook,Kam Jones scored 32 points while shooting 14 of 16 from the floor as No. 18 Marquette breezed to a 102-62 season-opening victory over Stony Brook on Monday night.
